param,shape0,shape1,rank_max,n_sigma,method,effective_rank,stable_rank,spectral_norm,frobenius_norm,sigma_sum,erank_over_rankmax,optimizer,chinchilla,run_name
embeddings.weight,100352,256,256,256,gram_exact,230.66324002871528,26.370002479652815,337.1227111816406,1727.8077392578125,24831.35546875,0.9010282813621691,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
blocks.0.attention.w_q.weight,256,256,256,256,gram_exact,168.96430597749378,15.516773000588445,8.277580261230469,32.60641860961914,377.26763916015625,0.6600168202245851,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
blocks.0.attention.w_k.weight,256,256,256,256,gram_exact,172.0313620003738,10.038459868300528,10.545550346374512,33.4119987487793,390.2781677246094,0.6719975078139602,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
blocks.0.attention.w_v.weight,256,256,256,256,gram_exact,210.01020040502974,72.85097032093893,4.51226806640625,38.51344680786133,530.8795776367188,0.8203523453321474,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
blocks.0.attention.w_out.weight,256,256,256,256,gram_exact,207.724193051392,48.19775232202621,5.302618980407715,36.813175201416016,502.88671875,0.811422629107,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
blocks.0.feed_forward.w1.weight,1024,256,256,256,gram_exact,241.95595094951682,65.23057291382038,12.048794746398926,97.31366729736328,1475.76904296875,0.9451404333965501,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
blocks.0.feed_forward.w2.weight,256,1024,256,256,gram_exact,237.33319141416538,49.58043726639681,6.1404900550842285,43.23773956298828,644.0895385742188,0.9270827789615835,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
blocks.0.feed_forward.w3.weight,1024,256,256,256,gram_exact,241.51727769134553,82.5884203223811,11.01819133758545,100.13232421875,1516.857421875,0.9434268659818185,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
blocks.1.attention.w_q.weight,256,256,256,256,gram_exact,177.88030890397815,26.090096966878917,7.869009017944336,40.19369888305664,492.2949523925781,0.6948449566561646,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
blocks.1.attention.w_k.weight,256,256,256,256,gram_exact,184.77360823092218,18.500879272110836,8.742199897766113,37.602474212646484,473.8562316894531,0.7217719071520398,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
blocks.1.attention.w_v.weight,256,256,256,256,gram_exact,198.54023178778908,44.854974221491865,6.059084415435791,40.58002471923828,536.0736083984375,0.7755477804210511,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
blocks.1.attention.w_out.weight,256,256,256,256,gram_exact,195.19851020916957,41.06514284527376,5.904360771179199,37.83634948730469,494.6510009765625,0.7624941805045686,muon,2,MuonExpt3-0.06B-chinchilla-2-muon-muonlr1.4e-2-adamwlr1.0e-2-wsd
