param,shape0,shape1,rank_max,n_sigma,method,effective_rank,stable_rank,spectral_norm,frobenius_norm,sigma_sum,erank_over_rankmax,optimizer,chinchilla,run_name
embeddings.weight,100352,256,256,256,gram_exact,243.77748198371194,10.27298705374437,1301.5633544921875,4167.28125,62380.12890625,0.9522557889988748,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.0.attention.w_q.weight,256,256,256,256,gram_exact,171.3350071479304,17.3487260059255,7.782650470733643,32.41604995727539,388.6455078125,0.6692773716716032,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.0.attention.w_k.weight,256,256,256,256,gram_exact,175.0698944348264,10.35231876300807,10.023236274719238,32.24966049194336,389.5856018066406,0.6838667751360407,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.0.attention.w_v.weight,256,256,256,256,gram_exact,195.8528277800606,55.48805479786662,5.21177339553833,38.822662353515625,510.4784851074219,0.7650501085158617,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.0.attention.w_out.weight,256,256,256,256,gram_exact,194.40083309569394,30.829741494255245,6.796776294708252,37.73871612548828,493.899658203125,0.7593782542800545,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.0.feed_forward.w1.weight,1024,256,256,256,gram_exact,222.30910525851996,29.947903480104912,12.313737869262695,67.38695526123047,944.3126831054688,0.8683949424160936,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.0.feed_forward.w2.weight,256,1024,256,256,gram_exact,245.15754722142003,62.87368281331591,4.923834323883057,39.04289245605469,599.05810546875,0.957646668833672,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.0.feed_forward.w3.weight,1024,256,256,256,gram_exact,234.81690259263928,46.280095949971376,11.696640014648438,79.57238006591797,1172.7801513671875,0.9172535257524972,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.1.attention.w_q.weight,256,256,256,256,gram_exact,164.78816520861832,18.72918246431497,6.948235511779785,30.06993865966797,345.42730712890625,0.6437037703461653,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.1.attention.w_k.weight,256,256,256,256,gram_exact,171.45963316092863,23.885079472860674,5.9876251220703125,29.262859344482422,347.20556640625,0.6697641920348775,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.1.attention.w_v.weight,256,256,256,256,gram_exact,190.78166899178234,47.91400781834649,5.91201639175415,40.922889709472656,524.6332397460938,0.7452408944991498,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.1.attention.w_out.weight,256,256,256,256,gram_exact,190.7715322351111,40.47029519499548,6.284439563751221,39.97919464111328,514.4208984375,0.7452012977934027,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.1.feed_forward.w1.weight,1024,256,256,256,gram_exact,231.25629088790708,45.26580114943865,9.768622398376465,65.72352600097656,957.6109008789062,0.903344886280887,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.1.feed_forward.w2.weight,256,1024,256,256,gram_exact,243.66606848774205,60.40429974973442,4.96490478515625,38.58770751953125,588.4572143554688,0.9518205800302424,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.1.feed_forward.w3.weight,1024,256,256,256,gram_exact,237.39515775388793,51.8963350413037,10.810437202453613,77.87805938720703,1161.8165283203125,0.9273248349761247,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.2.attention.w_q.weight,256,256,256,256,gram_exact,167.14195218874923,14.532278160796803,9.094430923461914,34.66899108886719,398.3143615722656,0.6528982507373017,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.2.attention.w_k.weight,256,256,256,256,gram_exact,180.82296534825534,15.024980599976132,9.061278343200684,35.123291015625,428.68914794921875,0.7063397083916224,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.2.attention.w_v.weight,256,256,256,256,gram_exact,186.43175541802918,42.711343622641266,6.247562408447266,40.8301887512207,514.9961547851562,0.7282490446016765,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.2.attention.w_out.weight,256,256,256,256,gram_exact,184.96686296707446,30.259026523685346,7.350969314575195,40.43629837036133,507.603271484375,0.7225268084651346,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.2.feed_forward.w1.weight,1024,256,256,256,gram_exact,230.23286464775236,39.27334472678009,11.314064025878906,70.90399169921875,1028.046630859375,0.8993471275302827,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.2.feed_forward.w2.weight,256,1024,256,256,gram_exact,235.7415041921274,63.26121201234122,4.81488561630249,38.29648971557617,569.21923828125,0.9208652507504976,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.2.feed_forward.w3.weight,1024,256,256,256,gram_exact,234.11127840138866,62.77764047722832,9.979722023010254,79.07247161865234,1164.854248046875,0.9144971812554245,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.3.attention.w_q.weight,256,256,256,256,gram_exact,154.94491848630798,16.04797746820117,8.575793266296387,34.35449981689453,371.4746398925781,0.6052535878371406,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.3.attention.w_k.weight,256,256,256,256,gram_exact,172.78250430199932,18.126712950319046,8.12702751159668,34.60114669799805,408.3426513671875,0.6749316574296849,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.3.attention.w_v.weight,256,256,256,256,gram_exact,180.96598333739794,45.30118143071241,6.356609344482422,42.783836364746094,530.7706909179688,0.7068983724117107,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.3.attention.w_out.weight,256,256,256,256,gram_exact,181.03707399649744,46.064154112367866,6.2211408615112305,42.22317123413086,523.7552490234375,0.7071760702988181,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.3.feed_forward.w1.weight,1024,256,256,256,gram_exact,232.62429621952225,33.46066976856058,12.053765296936035,69.72576904296875,1018.7208862304688,0.9086886571075088,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.3.feed_forward.w2.weight,256,1024,256,256,gram_exact,232.16408771449352,42.03644965419421,5.936713218688965,38.49137878417969,563.9676513671875,0.9068909676347403,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.3.feed_forward.w3.weight,1024,256,256,256,gram_exact,237.0866272632148,57.55924558974035,10.197769165039062,77.3689956665039,1151.6888427734375,0.9261196377469328,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.4.attention.w_q.weight,256,256,256,256,gram_exact,139.13855290934785,13.037614499194333,7.994295597076416,28.865436553955078,295.72564697265625,0.54350997230214,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.4.attention.w_k.weight,256,256,256,256,gram_exact,128.42254800549478,24.608124545802667,5.585287094116211,27.706640243530273,267.76580810546875,0.501650578146464,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.4.attention.w_v.weight,256,256,256,256,gram_exact,183.0203531699917,37.4584894314467,6.960148334503174,42.598350524902344,533.2396240234375,0.71492325457028,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.4.attention.w_out.weight,256,256,256,256,gram_exact,179.5588765733665,29.309473887152325,7.558121681213379,40.91825866699219,507.637451171875,0.7014018616147129,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.4.feed_forward.w1.weight,1024,256,256,256,gram_exact,229.53711197890973,19.022880532816096,16.27181625366211,70.97045135498047,1021.8443603515625,0.8966293436676162,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.4.feed_forward.w2.weight,256,1024,256,256,gram_exact,236.83232842213798,55.34055293362726,5.2953715324401855,39.393314361572266,586.4688720703125,0.9251262828989765,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.4.feed_forward.w3.weight,1024,256,256,256,gram_exact,237.33600281817283,42.653815270610345,11.71802043914795,76.5309829711914,1140.002197265625,0.9270937610084876,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.5.attention.w_q.weight,256,256,256,256,gram_exact,141.22681442886378,13.562665627871137,9.093992233276367,33.4908447265625,339.5810241699219,0.5516672438627491,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.5.attention.w_k.weight,256,256,256,256,gram_exact,157.21189197559573,18.704642974594925,7.717016696929932,33.37513732910156,367.9598388671875,0.6141089530296708,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
blocks.5.attention.w_v.weight,256,256,256,256,gram_exact,182.1551437579316,32.7865019360441,7.600727081298828,43.52130889892578,541.8101196289062,0.7115435303044203,muon,64,MuonExpt3-0.06B-chinchilla-64-muon-muonlr5.0e-3-adamwlr1.0e-2-wsd
