param,shape0,shape1,rank_max,n_sigma,method,effective_rank,stable_rank,spectral_norm,frobenius_norm,sigma_sum,erank_over_rankmax,optimizer,chinchilla,run_name
embeddings.weight,100352,256,256,256,gram_exact,227.49536304964664,16.405062618806742,441.6454162597656,1785.0601806640625,24900.626953125,0.8886537619126822,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.0.attention.w_q.weight,256,256,256,256,gram_exact,136.28413987004234,9.269029197248607,9.335705757141113,28.42256736755371,280.0194091796875,0.5323599213673529,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.0.attention.w_k.weight,256,256,256,256,gram_exact,132.67826129229312,4.316302794298079,12.312103271484375,25.579225540161133,238.852294921875,0.51827445817302,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.0.attention.w_v.weight,256,256,256,256,gram_exact,156.40871891748296,25.405333353544943,4.957001686096191,24.985095977783203,280.817138671875,0.6109715582714178,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.0.attention.w_out.weight,256,256,256,256,gram_exact,157.59889334264287,23.5964513310059,6.121749401092529,29.737049102783203,336.5371398925781,0.6156206771196987,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.0.feed_forward.w1.weight,1024,256,256,256,gram_exact,208.35630825548046,9.796880235608445,22.09392738342285,69.15448760986328,890.2870483398438,0.8138918291229705,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.0.feed_forward.w2.weight,256,1024,256,256,gram_exact,233.96854048038034,49.1924716065117,9.353473663330078,65.60315704345703,963.544677734375,0.9139396112514857,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.0.feed_forward.w3.weight,1024,256,256,256,gram_exact,220.26431924432765,38.89440324150514,9.53936767578125,59.49298095703125,824.7869873046875,0.8604074970481549,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.1.attention.w_q.weight,256,256,256,256,gram_exact,129.20616027762793,5.728672051913662,11.51540756225586,27.561656951904297,257.4277648925781,0.5047115635844841,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.1.attention.w_k.weight,256,256,256,256,gram_exact,127.51997552157951,3.2690114980078633,12.7233247756958,23.004274368286133,206.36474609375,0.49812490438116996,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.1.attention.w_v.weight,256,256,256,256,gram_exact,127.62001195176477,9.57212576754951,8.86623764038086,27.431074142456055,265.5548095703125,0.4985156716865811,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.1.attention.w_out.weight,256,256,256,256,gram_exact,121.12213777027057,4.391063341084239,13.557126998901367,28.40874481201172,261.9485778808594,0.4731333506651194,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.1.feed_forward.w1.weight,1024,256,256,256,gram_exact,209.33802137996202,4.747154020235213,45.139041900634766,98.34974670410156,1243.6669921875,0.8177266460154766,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.1.feed_forward.w2.weight,256,1024,256,256,gram_exact,235.52311372185497,27.83858537386286,15.114151954650879,79.7466049194336,1175.0894775390625,0.920012162975996,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.1.feed_forward.w3.weight,1024,256,256,256,gram_exact,213.98057451852142,37.35284858025651,11.706171035766602,71.54524230957031,971.54736328125,0.8358616192129743,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.2.attention.w_q.weight,256,256,256,256,gram_exact,113.83766421220915,5.337018378309616,7.414674282073975,17.129390716552734,154.62835693359375,0.444678375828942,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
blocks.2.attention.w_k.weight,256,256,256,256,gram_exact,125.20730544926722,3.07419494889997,9.45508861541748,16.577991485595703,149.3406219482422,0.4890910369112001,adamw,1,MuonExpt3-0.06B-chinchilla-1-adamw-lr1.4e-2-wsd
