param,shape0,shape1,rank_max,n_sigma,method,effective_rank,stable_rank,spectral_norm,frobenius_norm,sigma_sum,erank_over_rankmax,optimizer,chinchilla,run_name
embeddings.weight,100352,256,256,256,gram_exact,244.31227823790118,10.396363724959217,1410.24365234375,4541.576171875,68274.046875,0.9543448368668015,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.0.attention.w_q.weight,256,256,256,256,gram_exact,139.54815184867735,26.411666228288254,4.004293441772461,20.578937530517578,225.0961151123047,0.5451099681588959,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.0.attention.w_k.weight,256,256,256,256,gram_exact,143.46265494254317,18.647557842888805,5.0388007164001465,21.7589168548584,240.20875549316406,0.5604009958693092,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.0.attention.w_v.weight,256,256,256,256,gram_exact,199.11351991373206,48.48098523014382,3.5157275199890137,24.479387283325195,325.56658935546875,0.7777871871630159,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.0.attention.w_out.weight,256,256,256,256,gram_exact,192.9335963943869,12.376971884304975,6.835342884063721,24.047372817993164,306.23748779296875,0.7536468609155739,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.0.feed_forward.w1.weight,1024,256,256,256,gram_exact,229.48341864184977,19.68668036641445,15.107688903808594,67.03280639648438,961.370849609375,0.8964196040697257,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.0.feed_forward.w2.weight,256,1024,256,256,gram_exact,235.19732021075617,8.706864959462985,19.20069694519043,56.65678024291992,815.257568359375,0.9187395320732663,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.0.feed_forward.w3.weight,1024,256,256,256,gram_exact,236.78251605907766,83.77682738981859,5.823735237121582,53.30488967895508,794.1495971679688,0.9249317033557721,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.1.attention.w_q.weight,256,256,256,256,gram_exact,153.4732545323317,18.766895961976246,4.725837707519531,20.472625732421875,230.31056213378906,0.5995049005169207,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.1.attention.w_k.weight,256,256,256,256,gram_exact,166.56703105668197,12.939594938853165,5.576016426086426,20.057844161987305,235.37118530273438,0.6506524650651639,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.1.attention.w_v.weight,256,256,256,256,gram_exact,192.23026758354422,49.03115706474538,3.464312791824341,24.25786590576172,312.69854736328125,0.7508994827482196,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.1.attention.w_out.weight,256,256,256,256,gram_exact,197.63976780080736,20.151023517008692,5.192394256591797,23.30859375,305.63165283203125,0.7720303429719038,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.1.feed_forward.w1.weight,1024,256,256,256,gram_exact,233.52873011303623,25.984523548012355,12.278257369995117,62.588768005371094,914.9195556640625,0.9122216020040478,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
blocks.1.feed_forward.w2.weight,256,1024,256,256,gram_exact,234.1645261633854,17.799269989434357,12.469551086425781,52.60851287841797,764.6410522460938,0.9147051803257242,adamw,128,MuonExpt3-0.06B-chinchilla-128-adamw-lr1.0e-2-wsd
