param,shape0,shape1,rank_max,n_sigma,method,effective_rank,stable_rank,spectral_norm,frobenius_norm,sigma_sum,erank_over_rankmax,optimizer,chinchilla,run_name
embeddings.weight,100352,256,256,256,gram_exact,232.30870184853745,23.575023115117762,370.354736328125,1794.770263671875,25826.9609375,0.9074558665958494,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.0.attention.w_q.weight,256,256,256,256,gram_exact,141.6234898117488,8.573619640643994,9.876404762268066,28.91876792907715,297.88995361328125,0.5532167570771438,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.0.attention.w_k.weight,256,256,256,256,gram_exact,137.03518843107105,3.6140446463161995,13.404541969299316,25.482831954956055,244.49652099609375,0.5352937048088713,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.0.attention.w_v.weight,256,256,256,256,gram_exact,185.71810339655838,40.957010863906376,4.150354862213135,26.561260223388672,334.14215087890625,0.7254613413928062,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.0.attention.w_out.weight,256,256,256,256,gram_exact,182.18707936439242,27.62161738636437,6.001331329345703,31.540674209594727,391.1378173828125,0.7116682787671579,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.0.feed_forward.w1.weight,1024,256,256,256,gram_exact,216.32641007891803,10.298006211742111,23.765430450439453,76.2652587890625,1020.5452880859375,0.8450250393707736,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.0.feed_forward.w2.weight,256,1024,256,256,gram_exact,234.8867881761962,35.45942757574173,11.35779857635498,67.63373565673828,996.733642578125,0.9175265163132664,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.0.feed_forward.w3.weight,1024,256,256,256,gram_exact,230.86786368538793,58.118933732687175,8.238734245300293,62.808956146240234,910.94970703125,0.9018275925210466,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.1.attention.w_q.weight,256,256,256,256,gram_exact,122.40698474710942,4.901291408325916,8.75213623046875,19.376211166381836,180.30886840820312,0.47815228416839617,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.1.attention.w_k.weight,256,256,256,256,gram_exact,129.42329834620583,3.1773711129748565,9.7351713180542,17.353113174438477,158.47335815429688,0.5055597591648665,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.1.attention.w_v.weight,256,256,256,256,gram_exact,152.92963704851712,24.503901169169765,6.283992767333984,31.106603622436523,342.21112060546875,0.59738139472077,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.1.attention.w_out.weight,256,256,256,256,gram_exact,152.80665475868494,13.12871058503217,7.781643390655518,28.195629119873047,309.0421142578125,0.5969009951511131,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.1.feed_forward.w1.weight,1024,256,256,256,gram_exact,227.66235317272094,10.044119420948352,26.996036529541016,85.55806732177734,1203.609130859375,0.8893060670809412,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.1.feed_forward.w2.weight,256,1024,256,256,gram_exact,235.97696377741445,31.912731659085484,13.001218795776367,73.44633483886719,1085.8369140625,0.9217850147555252,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.1.feed_forward.w3.weight,1024,256,256,256,gram_exact,233.80131401483123,54.03831402683581,9.478515625,69.6778793334961,1023.8953247070312,0.9132863828704345,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.2.attention.w_q.weight,256,256,256,256,gram_exact,122.43508166923573,13.89932976457534,4.820852279663086,17.97296905517578,172.70445251464844,0.47826203777045206,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.2.attention.w_k.weight,256,256,256,256,gram_exact,112.29543083298236,20.208009631041833,4.4506449699401855,20.007112503051758,175.2777557373047,0.43865402669133735,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.2.attention.w_v.weight,256,256,256,256,gram_exact,175.09493065061275,26.91837018360315,5.764717102050781,29.908966064453125,363.28790283203125,0.6839645728539561,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.2.attention.w_out.weight,256,256,256,256,gram_exact,168.58274730382044,9.852985696518923,8.866158485412598,27.830360412597656,325.79254150390625,0.6585263566555486,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.2.feed_forward.w1.weight,1024,256,256,256,gram_exact,233.39558978944027,10.807509575595573,25.05776596069336,82.37775421142578,1189.289306640625,0.911701522615001,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.2.feed_forward.w2.weight,256,1024,256,256,gram_exact,237.65319630012598,46.72785961063318,10.823053359985352,73.98470306396484,1101.5419921875,0.9283327980473671,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.2.feed_forward.w3.weight,1024,256,256,256,gram_exact,237.43006272048387,53.03567417482251,9.836524963378906,71.63572692871094,1067.8427734375,0.9274611825018901,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
blocks.3.attention.w_q.weight,256,256,256,256,gram_exact,144.7070568081214,10.836176269557768,7.922499656677246,26.079530715942383,275.0981750488281,0.5652619406567242,adamw,2,MuonExpt3-0.06B-chinchilla-2-adamw-lr1.0e-2-wsd
