param,shape0,shape1,rank_max,n_sigma,method,effective_rank,stable_rank,spectral_norm,frobenius_norm,sigma_sum,erank_over_rankmax,optimizer,chinchilla,run_name
embeddings.weight,100352,256,256,256,gram_exact,244.24672581831223,11.375056126251565,1265.3270263671875,4262.78662109375,64164.91015625,0.9540887727277821,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.0.attention.w_q.weight,256,256,256,256,gram_exact,133.85601584303475,20.506588747175087,4.843805313110352,21.93471908569336,232.42169189453125,0.5228750618868545,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.0.attention.w_k.weight,256,256,256,256,gram_exact,139.65363013612557,18.033820279722736,5.403566837310791,22.946866989135742,246.72459411621094,0.5455219927192405,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.0.attention.w_v.weight,256,256,256,256,gram_exact,191.70799046119276,47.86777502488277,3.792151927947998,26.23653793334961,341.0803527832031,0.7488593377390342,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.0.attention.w_out.weight,256,256,256,256,gram_exact,187.44057494178617,9.329012450137956,8.377657890319824,25.588218688964844,319.572265625,0.7321897458663522,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.0.feed_forward.w1.weight,1024,256,256,256,gram_exact,225.3053849744698,24.07457208392331,14.048543930053711,68.93086242675781,970.1436157226562,0.8800991600565227,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.0.feed_forward.w2.weight,256,1024,256,256,gram_exact,235.1924466052967,8.851175481043535,20.337398529052734,60.50594711303711,875.2469482421875,0.9187204945519403,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.0.feed_forward.w3.weight,1024,256,256,256,gram_exact,237.4942088763916,69.05016019068192,7.104881286621094,59.039398193359375,881.2307739257812,0.9277117534234047,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.1.attention.w_q.weight,256,256,256,256,gram_exact,138.45605688971727,15.949653379538587,5.347162246704102,21.354839324951172,228.34519958496094,0.5408439722254581,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.1.attention.w_k.weight,256,256,256,256,gram_exact,156.49343483186937,12.208773807266853,6.130358695983887,21.420114517211914,243.55154418945312,0.6113024798119897,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.1.attention.w_v.weight,256,256,256,256,gram_exact,192.9867671925563,38.884348795001216,4.403566837310791,27.459415435791016,354.77789306640625,0.753854559345923,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.1.attention.w_out.weight,256,256,256,256,gram_exact,196.27340511532157,17.266775657996366,6.001894474029541,24.93983268737793,325.11572265625,0.7666929887317249,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.1.feed_forward.w1.weight,1024,256,256,256,gram_exact,232.69168411808067,26.372171123455505,13.071779251098633,67.12902069091797,978.5199584960938,0.9089518910862526,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.1.feed_forward.w2.weight,256,1024,256,256,gram_exact,229.14003125450284,13.900870926136776,16.143278121948242,60.18876647949219,851.3538818359375,0.8950782470879017,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.1.feed_forward.w3.weight,1024,256,256,256,gram_exact,238.43930474971654,76.92285099435638,6.336420059204102,55.57438278198242,833.0277099609375,0.9314035341785802,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.2.attention.w_q.weight,256,256,256,256,gram_exact,132.31105637667216,19.717626347014487,4.994966983795166,22.179912567138672,226.8594970703125,0.5168400639713756,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.2.attention.w_k.weight,256,256,256,256,gram_exact,158.2603924957734,12.676821375820925,6.078195571899414,21.641130447387695,244.5446014404297,0.6182046581866149,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.2.attention.w_v.weight,256,256,256,256,gram_exact,185.92783899967634,41.74622262011816,4.185238838195801,27.041349411010742,340.71490478515625,0.7262806210924857,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.2.attention.w_out.weight,256,256,256,256,gram_exact,191.83065262559805,19.266105360980415,5.7639899253845215,25.299968719482422,324.9940490722656,0.7493384868187424,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.2.feed_forward.w1.weight,1024,256,256,256,gram_exact,229.31876365538707,22.109047077394685,12.617584228515625,59.32855224609375,850.9024658203125,0.8957764205288558,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.2.feed_forward.w2.weight,256,1024,256,256,gram_exact,231.17445096152142,24.09145630848464,11.426082611083984,56.08317565917969,811.980224609375,0.903025199068443,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.2.feed_forward.w3.weight,1024,256,256,256,gram_exact,238.31324184290213,77.17932268815882,6.216886520385742,54.61684799194336,817.4518432617188,0.9309111009488364,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.3.attention.w_q.weight,256,256,256,256,gram_exact,93.44592175963658,17.160623945342547,3.929957151412964,16.279951095581055,141.23611450195312,0.3650231318735804,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.3.attention.w_k.weight,256,256,256,256,gram_exact,87.20948277229057,17.87352722610934,5.145703315734863,21.754520416259766,171.966552734375,0.34066204207926004,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.3.attention.w_v.weight,256,256,256,256,gram_exact,186.3772663476335,39.660281396102434,4.0144805908203125,25.28175163269043,320.0666198730469,0.7280361966704434,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.3.attention.w_out.weight,256,256,256,256,gram_exact,184.90387084998832,15.429821651711102,5.945886135101318,23.35590934753418,293.1449890136719,0.7222807455077669,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.3.feed_forward.w1.weight,1024,256,256,256,gram_exact,230.76897385010795,19.55373318520859,12.808856964111328,56.64060592651367,818.1624145507812,0.9014413041019842,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.3.feed_forward.w2.weight,256,1024,256,256,gram_exact,237.61618179669938,32.203580270911615,9.896201133728027,56.159507751464844,832.7610473632812,0.928188210143357,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
blocks.3.feed_forward.w3.weight,1024,256,256,256,gram_exact,240.84961990696067,67.354291192809,6.560333251953125,53.84088134765625,813.1520385742188,0.9408188277615651,adamw,64,MuonExpt3-0.06B-chinchilla-64-adamw-lr1.0e-2-wsd
