param,shape0,shape1,rank_max,n_sigma,method,effective_rank,stable_rank,spectral_norm,frobenius_norm,sigma_sum,erank_over_rankmax,optimizer,chinchilla,run_name
embeddings.weight,100352,256,256,256,gram_exact,244.93468868699267,29.33447077741897,470.0893859863281,2542.141845703125,38798.0390625,0.9567761276835651,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.0.attention.w_q.weight,256,256,256,256,gram_exact,137.96538441278233,11.269537359860818,6.856872081756592,23.018524169921875,237.81936645507812,0.538927282862431,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.0.attention.w_k.weight,256,256,256,256,gram_exact,141.4884847273643,9.581928364192557,7.102341175079346,21.985042572021484,227.46429443359375,0.5526893934662668,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.0.attention.w_v.weight,256,256,256,256,gram_exact,196.98896056508738,32.676489668439956,4.3417510986328125,24.81887435913086,325.1518859863281,0.7694881272073726,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.0.attention.w_out.weight,256,256,256,256,gram_exact,191.34273677585944,9.370483154535506,9.062952995300293,27.742780685424805,350.6800842285156,0.7474325655307009,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.0.feed_forward.w1.weight,1024,256,256,256,gram_exact,228.42422576916977,16.513788874619802,16.107444763183594,65.45645904541016,929.2485961914062,0.8922821319108194,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.0.feed_forward.w2.weight,256,1024,256,256,gram_exact,239.059533321634,31.98982832707711,10.47102165222168,59.223976135253906,885.1109619140625,0.9338263020376328,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.0.feed_forward.w3.weight,1024,256,256,256,gram_exact,237.65554030474928,45.03259289766025,8.681656837463379,58.25978088378906,867.3306884765625,0.9283419543154269,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.1.attention.w_q.weight,256,256,256,256,gram_exact,152.82489517564846,14.874455713328265,5.1856279373168945,19.99955940246582,225.06195068359375,0.5969722467798768,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.1.attention.w_k.weight,256,256,256,256,gram_exact,157.5864641871486,12.789061899496597,5.358904838562012,19.164411544799805,218.43296813964844,0.6155721257310492,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.1.attention.w_v.weight,256,256,256,256,gram_exact,183.55142809787958,26.95340066618641,5.2977070808410645,27.50387954711914,342.16082763671875,0.7169977660073421,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.1.attention.w_out.weight,256,256,256,256,gram_exact,178.8152069542902,23.691514566996783,4.944580554962158,24.06720542907715,296.3352966308594,0.6984969021651961,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.1.feed_forward.w1.weight,1024,256,256,256,gram_exact,229.71894402491046,43.67577476680902,10.045293807983398,66.38741302490234,955.816162109375,0.8973396250973065,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.1.feed_forward.w2.weight,256,1024,256,256,gram_exact,232.90921331269826,15.517246227400628,15.045668601989746,59.26820755004883,858.80029296875,0.9098016145027276,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.1.feed_forward.w3.weight,1024,256,256,256,gram_exact,236.83911964594938,69.99179198992584,6.667017936706543,55.77745056152344,829.738037109375,0.9251528111169898,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.2.attention.w_q.weight,256,256,256,256,gram_exact,130.90135231606232,16.61931950231345,5.1447367668151855,20.973398208618164,213.90408325195312,0.5113334074846184,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.2.attention.w_k.weight,256,256,256,256,gram_exact,150.14786069823666,16.08001819504718,4.744070053100586,19.02366828918457,209.14193725585938,0.5865150808524869,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.2.attention.w_v.weight,256,256,256,256,gram_exact,187.64428564574,41.07613974689077,4.3382768630981445,27.80426025390625,352.5328063964844,0.7329854908036719,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.2.attention.w_out.weight,256,256,256,256,gram_exact,178.7608297286535,16.912097160733662,6.228716850280762,25.615140914916992,314.9941101074219,0.6982844911275528,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.2.feed_forward.w1.weight,1024,256,256,256,gram_exact,235.41690492896862,39.35117599623869,10.195566177368164,63.95760726928711,942.8372192382812,0.9195972848787837,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.2.feed_forward.w2.weight,256,1024,256,256,gram_exact,228.4537808031212,20.03211419054062,13.340378761291504,59.70824432373047,854.19287109375,0.8923975812621922,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.2.feed_forward.w3.weight,1024,256,256,256,gram_exact,240.1821175249879,80.75638365552747,6.321425437927246,56.80765151977539,856.3206787109375,0.9382113965819839,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.3.attention.w_q.weight,256,256,256,256,gram_exact,102.72735156837432,10.754121534253464,4.609306335449219,15.11545467376709,136.43898010253906,0.4012787170639622,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.3.attention.w_k.weight,256,256,256,256,gram_exact,99.26456490275476,22.254938876118814,3.7463977336883545,17.673667907714844,148.6221923828125,0.38775220665138577,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.3.attention.w_v.weight,256,256,256,256,gram_exact,177.79762625362088,23.976571248650348,5.07633113861084,24.856679916381836,304.56866455078125,0.6945219775532065,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.3.attention.w_out.weight,256,256,256,256,gram_exact,166.7284638769826,12.239792816662618,5.9779582023620605,20.914138793945312,245.8636932373047,0.6512830620194633,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.3.feed_forward.w1.weight,1024,256,256,256,gram_exact,231.6058257991605,29.876162320259855,10.916142463684082,59.667015075683594,867.0697631835938,0.9047102570279707,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.3.feed_forward.w2.weight,256,1024,256,256,gram_exact,240.38597203744067,34.908038159989765,9.910326957702637,58.55363845825195,880.7691650390625,0.9390077032712526,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.3.feed_forward.w3.weight,1024,256,256,256,gram_exact,239.56380978128084,64.61565956339109,7.280086994171143,58.520530700683594,879.7741088867188,0.9357961319581283,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.4.attention.w_q.weight,256,256,256,256,gram_exact,148.67513897044464,18.84891352939125,5.831650733947754,25.31822395324707,273.1777648925781,0.5807622616032994,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
blocks.4.attention.w_k.weight,256,256,256,256,gram_exact,170.30322162152422,20.242290956707393,5.016676902770996,22.570728302001953,265.75396728515625,0.665246959459079,adamw,16,MuonExpt3-0.06B-chinchilla-16-adamw-lr7.0e-3-wsd
