param,shape0,shape1,rank_max,n_sigma,method,effective_rank,stable_rank,spectral_norm,frobenius_norm,sigma_sum,erank_over_rankmax,optimizer,chinchilla,run_name
embeddings.weight,100352,256,256,256,gram_exact,234.22701775592537,24.505510525041004,346.83221435546875,1713.54736328125,24999.74609375,0.9149492881090835,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
blocks.0.attention.w_q.weight,256,256,256,256,gram_exact,159.13555972464803,13.731089703451222,8.604277610778809,31.88349151611328,353.6643981933594,0.6216232801744064,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
blocks.0.attention.w_k.weight,256,256,256,256,gram_exact,162.10706113270442,10.372922404354254,10.37311840057373,33.408695220947266,375.6612854003906,0.6332307075496266,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
blocks.0.attention.w_v.weight,256,256,256,256,gram_exact,213.3028298295584,69.43982808141647,4.462674140930176,37.18769073486328,519.1167602539062,0.8332141790217125,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
blocks.0.attention.w_out.weight,256,256,256,256,gram_exact,208.17171724636054,35.016822360088966,6.107855319976807,36.1431884765625,492.6278991699219,0.8131707704935959,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
blocks.0.feed_forward.w1.weight,1024,256,256,256,gram_exact,239.70560699719184,70.41395917506748,11.328988075256348,95.06609344482422,1431.55810546875,0.9363500273327806,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
blocks.0.feed_forward.w2.weight,256,1024,256,256,gram_exact,237.08810851986013,34.02965472358065,6.887812614440918,40.18046569824219,597.203857421875,0.9261254239057036,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
blocks.0.feed_forward.w3.weight,1024,256,256,256,gram_exact,239.03880405683597,81.07180643289858,11.22360897064209,101.05830383300781,1518.48193359375,0.9337453283470155,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
blocks.1.attention.w_q.weight,256,256,256,256,gram_exact,177.09837029536578,20.354463887743925,8.924654006958008,40.264408111572266,486.1405029296875,0.6917905089662726,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
blocks.1.attention.w_k.weight,256,256,256,256,gram_exact,187.23300404647927,24.00989419864953,7.801030158996582,38.22496032714844,482.6764221191406,0.7313789220565596,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
blocks.1.attention.w_v.weight,256,256,256,256,gram_exact,200.17170202421403,40.349715912289646,6.349494934082031,40.33283615112305,533.8280029296875,0.781920711032086,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
blocks.1.attention.w_out.weight,256,256,256,256,gram_exact,199.46768412407536,31.984462454312524,6.645686149597168,37.58451461791992,496.41180419921875,0.7791706411096694,muon,4,MuonExpt3-0.06B-chinchilla-4-muon-muonlr1.0e-2-adamwlr7.0e-3-wsd
